area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;004201;074;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;82,7657006310905;010150004201;01015000420107408;010150004201074081;202601
1;010150;006005;062;01;1;3;2;1;2;3;3;3;2;2;2;3;3;3;3;2;2;2712;1133,76054240174;010150006005;01015000600506201;010150006005062011;202601
1;010150;006005;062;02;1;2;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2712;1133,76054240174;010150006005;01015000600506202;010150006005062021;202601
1;010150;006005;062;03;1;2;3;1;3;2;3;3;2;3;3;3;3;3;3;3;3;2712;1133,76054240174;010150006005;01015000600506203;010150006005062031;202601
1;010150;006005;062;04;1;2;3;3;2;3;2;3;2;3;2;3;2;2;2;2;2;2712;1133,76054240174;010150006005;01015000600506204;010150006005062041;202601
1;010150;006005;062;05;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;1133,76054240174;010150006005;01015000600506205;010150006005062051;202601
1;010150;006005;062;06;1;2;2;2;2;3;3;2;3;3;3;3;3;3;3;2;2;2712;1133,76054240174;010150006005;01015000600506206;010150006005062061;202601
1;010150;006005;062;07;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;3;2712;1133,76054240174;010150006005;01015000600506207;010150006005062071;202601
1;010150;006601;052;01;1;2;2;1;3;2;2;2;2;2;2;2;2;1;2;2;2;2713;167,074952076745;010150006601;01015000660105201;010150006601052011;202601
1;010150;006601;052;03;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;167,074952076745;010150006601;01015000660105203;010150006601052031;202601
1;010150;006601;052;04;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2713;167,074952076745;010150006601;01015000660105204;010150006601052041;202601
1;010150;006601;052;05;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2713;167,074952076745;010150006601;01015000660105205;010150006601052051;202601
1;010150;006601;052;06;1;1;1;2;2;2;3;3;3;3;3;3;3;3;3;3;3;2713;167,074952076745;010150006601;01015000660105206;010150006601052061;202601
1;010150;006601;052;07;1;2;1;1;3;3;2;2;2;2;2;2;1;1;1;1;1;2713;167,074952076745;010150006601;01015000660105207;010150006601052071;202601
1;010150;006601;052;08;1;2;3;1;3;2;3;2;2;3;3;3;2;3;3;3;3;2713;167,074952076745;010150006601;01015000660105208;010150006601052081;202601
1;010150;006703;074;01;1;2;3;1;3;2;3;1;3;2;3;2;3;2;2;1;1;2713;105,564927608629;010150006703;01015000670307401;010150006703074011;202601
1;010150;006703;074;02;1;2;2;1;3;3;2;2;2;2;3;2;2;3;3;3;3;2713;105,564927608629;010150006703;01015000670307402;010150006703074021;202601
1;010150;006703;074;03;1;2;3;3;3;2;2;3;3;2;2;1;2;3;3;3;3;2713;105,564927608629;010150006703;01015000670307403;010150006703074031;202601
1;010150;006703;074;04;1;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;105,564927608629;010150006703;01015000670307404;010150006703074041;202601
1;010150;006703;074;05;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2713;105,564927608629;010150006703;01015000670307405;010150006703074051;202601
1;010150;006703;074;06;1;1;2;2;2;2;2;2;2;2;2;1;2;3;3;3;3;2713;105,564927608629;010150006703;01015000670307406;010150006703074061;202601
1;010150;006703;074;07;1;2;3;2;2;1;1;1;1;1;2;1;2;3;2;2;2;2713;105,564927608629;010150006703;01015000670307407;010150006703074071;202601
1;010150;006703;074;07;2;2;3;2;3;2;2;1;2;3;3;2;2;3;2;2;2;2713;105,564927608629;010150006703;01015000670307407;010150006703074072;202601
1;010150;008303;052;01;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2711;36,2969046112888;010150008303;01015000830305201;010150008303052011;202601
1;010150;008303;052;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;36,2969046112888;010150008303;01015000830305202;010150008303052021;202601
